ztop,Age,Deuterium,dT
1207.8,83928.76,-411.1,-3.44
1208.35,83970.3,-404.9,-2.41
1208.9,84011.68,-415,-4.08
1209.45,84053.99,-410.6,-3.36
1210,84097.09,-415.5,-4.17
1210.55,84141.94,-410.1,-3.28
1211.1,84184.4,-419.9,-4.89
1211.65,84231.46,-413.3,-3.81
1212.2,84276.48,-416,-4.25
1212.75,84322.04,-417.2,-4.45
1213.3,84367.27,-411.2,-3.46
1213.85,84411.01,-411.9,-3.58
1214.4,84454.52,-416.3,-4.3
1214.95,84499.51,-413.5,-3.84
1215.5,84543.97,-414.9,-4.07
1216.05,84588.88,-412,-3.59
1216.6,84631.81,-410.2,-3.3
1217.15,84674.46,-413.7,-3.88
1217.7,84718.63,-416.4,-4.32
1218.25,84765.08,-420.5,-5
1218.8,84812.61,-415.9,-4.24
1219.35,84858.24,-409.9,-3.25
1219.9,84902.82,-422.6,-5.35
1220.45,84951.34,-418.2,-4.62
1221,84999.28,-416.4,-4.32
1221.55,85045.87,-418.3,-4.64
1222.1,85093.45,-419.7,-4.87
1222.65,85142.02,-416,-4.26
1223.2,85187.62,-406.2,-2.64
1223.75,85229.18,-419.5,-4.84
1224.3,85275.85,-418.5,-4.67
1224.85,85323.7,-417.4,-4.49
1225.4,85371.13,-418.3,-4.64
1225.95,85419.4,-421.9,-5.23
1226.5,85467.76,-414.4,-4
1227.05,85515.35,-420.8,-5.05
1227.6,85563.7,-420.3,-4.97
1228.15,85613.15,-420.4,-4.99
1228.7,85661.99,-417.4,-4.49
1229.25,85710.04,-419,-4.76
1229.8,85758.88,-423.1,-5.43
1230.35,85809.58,-422.5,-5.33
1230.9,85860.64,-422.1,-5.27
1231.45,85911.49,-422,-5.25
1232,85961.51,-417.9,-4.57
1232.55,86010.16,-419.1,-4.77
1233.1,86058.78,-420.6,-5.02
1233.65,86107.56,-416.8,-4.39
1234.2,86156.61,-425.7,-5.86
1234.75,86208.29,-421.9,-5.23
1235.3,86259.86,-422.3,-5.3
1235.85,86310.98,-422.5,-5.33
1236.4,86361.87,-420.4,-4.98
1236.95,86412.92,-425.4,-5.81
1237.5,86465.54,-424.6,-5.68
1238.05,86519.18,-426.5,-5.99
1238.6,86573.83,-428.1,-6.25
1239.15,86629.75,-428.5,-6.32
1239.7,86685.53,-419,-4.75
1240.25,86735.4,-427.1,-6.09
