ztop,Age,Deuterium,dT
1485.55,111864.7,-424.6,-5.18
1486.1,111931.6,-422.5,-4.83
1486.65,111997.09,-425.9,-5.38
1487.2,112065.5,-427.4,-5.62
1487.75,112135.06,-420.5,-4.48
1488.3,112198.58,-421.3,-4.6
1488.85,112263.04,-424.6,-5.14
1489.4,112330.09,-427.6,-5.63
1489.95,112399.56,-421.4,-4.6
1490.5,112464.12,-418.7,-4.15
1491.05,112526.88,-424.3,-5.07
1491.6,112592.34,-418,-4.02
1492.15,112653.52,-416.8,-3.82
1492.7,112714.3,-420.1,-4.36
1493.25,112777.16,-422.6,-4.77
1493.8,112842.52,-421.9,-4.64
1494.35,112907.49,-421,-4.49
1494.9,112971.49,-418.6,-4.09
1495.45,113033.82,-418.7,-4.1
1496,113096.52,-424.7,-5.08
1496.55,113161.87,-413.4,-3.21
1497.1,113221.7,-416,-3.64
1497.65,113281.09,-418.1,-3.98
1498.2,113342.42,-415.4,-3.53
1498.75,113402.59,-420.4,-4.35
1499.3,113466.18,-422.1,-4.62
1499.85,113531.17,-416.7,-3.73
1500.4,113592.12,-414.9,-3.42
1500.95,113652.36,-422.6,-4.69
1501.5,113715.96,-414,-3.26
1502.05,113775.62,-412.8,-3.06
1502.6,113832.83,-411.4,-2.82
1503.15,113888.92,-413.6,-3.18
1503.7,113946.72,-412.7,-3.03
1504.25,114003.81,-411.5,-2.83
1504.8,114060.24,-411.8,-2.87
1505.35,114115.63,-406.6,-2.01
1505.9,114169.93,-413.5,-3.14
1506.45,114226.59,-412.4,-2.96
1507,114283.93,-413.2,-3.08
1507.55,114341.7,-410,-2.55
1508.1,114397.95,-406.8,-2.02
1508.65,114452.09,-413.3,-3.09
1509.2,114509.46,-414.7,-3.31
1509.75,114568.58,-414.5,-3.27
1510.3,114627.45,-411,-2.69
1510.85,114684.11,-409.4,-2.42
1511.4,114740.44,-404.6,-1.63
1511.95,114791.62,-405.9,-1.84
1512.5,114843.84,-409.9,-2.49
1513.05,114899.21,-412.1,-2.85
1513.6,114955.52,-408,-2.17
1514.15,115010.42,-409.7,-2.45
1514.7,115063.61,-400.7,-0.96
1515.25,115115.29,-408,-2.16
1515.8,115168.84,-406.6,-1.92
1516.35,115222.67,-408.2,-2.18
1516.9,115275.7,-402.3,-1.21
1517.45,115327.01,-410.8,-2.6
1518,115382.15,-407.9,-2.12
1518.55,115436.44,-409.4,-2.36
1519.1,115491.7,-408.6,-2.23
1519.65,115546.22,-407.7,-2.07
1520.2,115599.25,-405,-1.62
1520.75,115651.87,-409,-2.28
1521.3,115706.75,-411,-2.6
1521.85,115762.14,-405.1,-1.63
1522.4,115815,-403.9,-1.42
1522.95,115867.57,-411.1,-2.61
1523.5,115922.37,-405.7,-1.71
1524.05,115975.71,-405.2,-1.63
1524.6,116028.55,-410.9,-2.56
1525.15,116084.56,-404,-1.42
1525.7,116136.18,-405.9,-1.73
1526.25,116189.19,-413.8,-3.03
1526.8,116247.53,-404.9,-1.55
1527.35,116300.1,-400.4,-0.81
1527.9,116349.66,-402.9,-1.21
1528.45,116399.64,-401.7,-1.01
1529,116449.59,-403.1,-1.24
1529.55,116499.92,-401.8,-1.02
1530.1,116550.34,-405.3,-1.6
1530.65,116602.26,-404.6,-1.48
1531.2,116654.08,-402.9,-1.19
1531.75,116704.37,-399.1,-0.56
1532.3,116753.57,-403.7,-1.32
1532.85,116804.58,-406.1,-1.71
1533.4,116855.94,-397.6,-0.3
1533.95,116904.74,-400.6,-0.79
1534.5,116952.86,-398.4,-0.43
1535.05,117001.11,-401.8,-0.99
1535.6,117051.11,-405.3,-1.56
1536.15,117101.81,-395.6,0.04
1536.7,117149.32,-399.3,-0.56
1537.25,117196.91,-398.9,-0.5
1537.8,117244.86,-399.3,-0.56
1538.35,117292.91,-397.9,-0.32
1538.9,117340.07,-393.9,0.34
1539.45,117384.73,-400.2,-0.7
1540,117433.48,-400.6,-0.76
1540.55,117482.46,-397.2,-0.2
1541.1,117529.6,-398.4,-0.39
1541.65,117577.12,-398.3,-0.37
1542.2,117624.01,-393.7,0.39
1542.75,117669.98,-399.1,-0.5
1543.3,117717.28,-399.2,-0.51
1543.85,117764.53,-393.7,0.4
1544.4,117810.91,-398.6,-0.41
1544.95,117857.32,-395.6,0.09
1545.5,117904.65,-401.4,-0.87
1546.05,117953.56,-400.1,-0.65
1546.6,118000.96,-387.8,1.38
1547.15,118043.83,-391.8,0.73
1547.7,118086.67,-389.3,1.14
1548.25,118128.98,-395.9,0.05
1548.8,118175.21,-401.7,-0.9
1549.35,118223.74,-394.9,0.22
1549.9,118270.79,-398.2,-0.32
1550.45,118318.5,-400.5,-0.7
1551,118366.38,-393.7,0.43
1551.55,118412.23,-393.3,0.5
1552.1,118456.47,-392.1,0.7
1552.65,118501.37,-399.3,-0.49
1553.2,118548.55,-395.4,0.16
1553.75,118595.22,-396.9,-0.09
1554.3,118642.57,-398.5,-0.35
1554.85,118690.68,-396.8,-0.07
1555.4,118737.72,-391.9,0.75
1555.95,118781.74,-397.6,-0.19
1556.5,118828.58,-394.7,0.29
1557.05,118874.35,-394,0.41
1557.6,118918.47,-388.4,1.33
1558.15,118962.13,-395.5,0.16
1558.7,119005.29,-386.8,1.6
1559.25,119047.93,-393.1,0.56
1559.8,119091.66,-392.8,0.61
1560.35,119136.02,-394.6,0.32
1560.9,119181.62,-395.4,0.19
1561.45,119227.3,-392.2,0.72
1562,119272.07,-394.9,0.28
1562.55,119317.42,-394.8,0.3
1563.1,119362.53,-391.4,0.87
1563.65,119407.94,-398.7,-0.33
1564.2,119454.74,-396,0.12
1564.75,119500.77,-388.9,1.29
1565.3,119543.95,-392.7,0.67
1565.85,119587.95,-388.5,1.37
1566.4,119630.09,-395.1,0.28
1566.95,119674.9,-391.4,0.89
1567.5,119718.52,-389.3,1.25
1568.05,119759.96,-384.1,2.11
1568.6,119800.93,-392.3,0.76
1569.15,119843.87,-392.9,0.66
1569.7,119888.32,-390.1,1.13
1570.25,119931.27,-394.1,0.47
1570.8,119976.59,-396.3,0.11
1571.35,120022.5,-391.9,0.84
1571.9,120066.74,-390.2,1.13
1572.45,120110.39,-393.5,0.59
1573,120153.26,-385.1,1.98
1573.55,120194.86,-393.5,0.59
1574.1,120239.05,-385.6,1.9
1574.65,120279.06,-387.8,1.54
1575.2,120320.28,-389.6,1.25
1575.75,120362.01,-388.3,1.47
1576.3,120404.43,-392.4,0.79
1576.85,120447.67,-390.3,1.14
1577.4,120490.67,-388.9,1.38
1577.95,120532.73,-391.3,0.99
1578.5,120576.27,-393,0.71
1579.05,120620.39,-391.5,0.96
1579.6,120663.88,-389.6,1.28
1580.15,120706.86,-391.2,1.02
1580.7,120749.88,-390.6,1.12
1581.25,120792.68,-386.2,1.85
1581.8,120833.26,-389.5,1.31
1582.35,120875.08,-387.8,1.59
1582.9,120916.69,-388.9,1.42
1583.45,120958.16,-387.9,1.58
1584,120999.33,-386.2,1.87
1584.55,121039.66,-382.4,2.5
1585.1,121078.41,-390.6,1.15
1585.65,121120.54,-391,1.08
1586.2,121162.06,-382.5,2.49
1586.75,121202.79,-390.2,1.22
1587.3,121244.21,-389.2,1.39
1587.85,121286.38,-389.3,1.38
1588.4,121328.4,-388.3,1.55
1588.95,121370.21,-389.4,1.37
1589.5,121412.01,-388.3,1.55
1590.05,121452.93,-383.6,2.33
1590.6,121492.39,-386.4,1.87
1591.15,121532.03,-380.3,2.88
1591.7,121570.36,-387.6,1.68
1592.25,121610.92,-391.8,0.98
1592.8,121652.68,-384.3,2.23
1593.35,121692.89,-383.5,2.36
1593.9,121731.73,-387.7,1.67
1594.45,121772.66,-388.6,1.52
1595,121814.02,-387.6,1.69
1595.55,121854.79,-384.9,2.14
1596.1,121895,-389,1.46
1596.65,121936.65,-395,0.47
1597.2,121982.32,-390.4,1.24
1597.75,122025.35,-388.8,1.5
1598.3,122067.89,-391.3,1.09
1598.85,122110.19,-387.6,1.71
1599.4,122152.42,-390.5,1.23
1599.95,122194.82,-387.1,1.8
1600.5,122237.1,-385.5,2.06
1601.05,122276.7,-384,2.31
1601.6,122316.39,-387.6,1.72
1602.15,122355.65,-381.6,2.71
1602.7,122394.68,-384.8,2.18
1603.25,122435.44,-390.3,1.28
1603.8,122477.89,-388,1.66
1604.35,122519.14,-386,1.99
1604.9,122559.87,-387.6,1.73
1605.45,122600.6,-387.3,1.78
1606,122641.44,-385.6,2.06
1606.55,122681.26,-384.7,2.21
1607.1,122720.76,-385.6,2.06
1607.65,122760.91,-388.1,1.65
1608.2,122801,-382.8,2.53
1608.75,122839.93,-381.7,2.71
1609.3,122877.69,-383.9,2.34
1609.85,122917.64,-391.6,1.07
1610.4,122958.3,-383.3,2.44
1610.95,122998.59,-385.4,2.09
1611.5,123038.05,-385.1,2.14
1612.05,123077.97,-388.1,1.65
1612.6,123118.27,-384,2.32
1613.15,123159.97,-394.9,0.52
1613.7,123202.02,-383.2,2.45
1614.25,123242.46,-383.7,2.37
1614.8,123281.46,-387.5,1.74
1615.35,123322.69,-390.2,1.29
1615.9,123363.62,-382.6,2.55
1616.45,123404.65,-391.4,1.09
1617,123446.17,-384.7,2.2
1617.55,123486.35,-389,1.48
1618.1,123527.1,-379.8,3.01
1618.65,123566.48,-389,1.48
1619.2,123607.06,-390.1,1.3
1619.75,123648.86,-383.5,2.39
1620.3,123688.49,-381.4,2.73
1620.85,123726.31,-384,2.3
1621.4,123764.95,-383.9,2.32
1621.95,123804.79,-388.7,1.52
1622.5,123845.08,-379,3.12
1623.05,123882.34,-383.9,2.31
1623.6,123921.38,-385.5,2.04
1624.15,123960.61,-382.9,2.47
1624.7,124000.24,-388,1.62
1625.25,124041.36,-392.8,0.83
1625.8,124085.54,-382.6,2.51
1626.35,124124.33,-382.9,2.46
1626.9,124162.85,-383.7,2.33
1627.45,124200.23,-375,3.77
1628,124235.39,-382.6,2.5
1628.55,124273.03,-379.8,2.96
1629.1,124309.36,-375.6,3.66
1629.65,124345.41,-386,1.93
1630.2,124384.84,-382.7,2.48
1630.75,124423.69,-384.9,2.11
1631.3,124462.1,-380,2.92
1631.85,124501.2,-389.2,1.39
1632.4,124542.38,-388.3,1.54
1632.95,124584.57,-392.5,0.84
1633.5,124628.41,-386.4,1.85
1634.05,124669.56,-384.7,2.13
1634.6,124710.93,-392.3,0.87
1635.15,124754.38,-393.9,0.6
1635.7,124799.05,-387.2,1.71
1636.25,124841.17,-384.8,2.1
1636.8,124880.67,-381,2.73
1637.35,124919.81,-388,1.57
1637.9,124959.57,-384,2.23
1638.45,125000.62,-390.7,1.11
1639,125043.48,-392.5,0.81
1639.55,125088.23,-385,2.05
1640.1,125129.01,-391.8,0.92
1640.65,125172.35,-389.7,1.27
1641.2,125214.9,-385.2,2.01
1641.75,125256.18,-386.8,1.74
1642.3,125297.26,-388.6,1.44
1642.85,125339.46,-391.5,0.96
1643.4,125383.32,-385.8,1.9
1643.95,125424.47,-387.1,1.68
1644.5,125465.25,-385,2.03
1645.05,125505.55,-385.2,1.99
1645.6,125545.83,-390.3,1.14
1646.15,125588.8,-389.5,1.27
1646.7,125631.79,-389.1,1.33
1647.25,125674.44,-388.1,1.5
1647.8,125717.17,-390.6,1.08
1648.35,125759.85,-387.3,1.62
1648.9,125803.1,-393.5,0.59
1649.45,125848.23,-395.8,0.21
1650,125894.48,-384.4,2.09
1650.55,125935.34,-388.6,1.39
1651.1,125977.98,-390.5,1.08
1651.65,126021.5,-390.3,1.11
1652.2,126063.77,-383.2,2.28
1652.75,126105.76,-392.2,0.79
1653.3,126148.1,-384,2.14
1653.85,126188.9,-391.8,0.84
1654.4,126233.47,-391.4,0.91
1654.95,126276.93,-384.4,2.06
1655.5,126317.73,-384.4,2.06
1656.05,126359.44,-394.2,0.43
1656.6,126403.33,-390.1,1.11
1657.15,126448.19,-394.8,0.33
1657.7,126494.47,-393.8,0.49
1658.25,126540.62,-388.7,1.33
1658.8,126583.49,-389.7,1.16
1659.35,126626.23,-386,1.77
1659.9,126667.51,-385.1,1.91
1660.45,126708.47,-387.6,1.5
1661,126749.21,-382.2,2.39
1661.55,126788.54,-380.9,2.6
1662.1,126826.68,-383.6,2.14
1662.65,126865.56,-382.7,2.29
1663.2,126903.68,-377.1,3.21
1663.75,126940.33,-381.2,2.53
1664.3,126977.69,-377.2,3.18
1664.85,127015.08,-383.5,2.14
1665.4,127052.56,-379.5,2.79
1665.95,127090.17,-377,3.2
1666.5,127126.25,-380.3,2.65
1667.05,127164.15,-384.8,1.9
1667.6,127203.22,-383.2,2.16
1668.15,127242.68,-382.6,2.25
1668.7,127281.38,-380.4,2.61
1669.25,127318.88,-378.9,2.86
1669.8,127357.12,-386.1,1.66
1670.35,127396.72,-384.7,1.89
1670.9,127437.05,-383.5,2.08
1671.45,127475.67,-378,2.98
1672,127512.26,-375.9,3.33
1672.55,127548.32,-381.2,2.44
1673.1,127585.74,-379.2,2.77
1673.65,127622.48,-378.1,2.95
1674.2,127659.96,-383.5,2.04
1674.75,127697.8,-378,2.95
1675.3,127734.85,-374.1,3.59
1675.85,127773.32,-376.1,3.25
1676.4,127810.37,-378.7,2.81
1676.95,127845.65,-369.1,4.4
1677.5,127878.51,-375.3,3.36
1678.05,127912.61,-371.8,3.93
1678.6,127946.63,-369.4,4.32
1679.15,127979.1,-368.7,4.43
1679.7,128012.79,-375.1,3.36
1680.25,128046.58,-371.4,3.97
1680.8,128079.42,-376,3.2
1681.35,128112.85,-374.3,3.47
1681.9,128146.77,-375.5,3.26
1682.45,128181.64,-368.7,4.38
1683,128215.27,-379.6,2.56
1683.55,128249.14,-366.1,4.79
1684.1,128284.42,-370.8,4
1684.65,128317.01,-377.4,2.9
1685.2,128348.9,-370.2,4.08
1685.75,128380.27,-373.9,3.46
1686.3,128411.51,-365.8,4.79
1686.85,128442.71,-366.2,4.71
1687.4,128474.04,-370.1,4.06
1687.95,128505.51,-365.2,4.86
1688.5,128537.06,-371.3,3.84
1689.05,128567.3,-375.7,3.1
1689.6,128598.18,-372.2,3.66
1690.15,128630.84,-365,4.84
1690.7,128662.31,-361.2,5.46
1691.25,128693.61,-370.2,3.96
1691.8,128726.07,-373.9,3.34
1692.35,128758.58,-368,4.3
1692.9,128791.02,-366.2,4.59
1693.45,128822.28,-366.6,4.51
1694,128854.98,-374.7,3.16
1694.55,128889.16,-370.8,3.79
1695.1,128921.88,-370.2,3.88
1695.65,128955.81,-379.4,2.35
1696.2,128990.86,-372.3,3.52
1696.75,129024.48,-371.4,3.66
1697.3,129057.61,-365.6,4.61
1697.85,129090.45,-373,3.38
1698.4,129124.66,-374.5,3.12
1698.95,129158.12,-368.6,4.09
1699.5,129191.06,-370.3,3.8
1700.05,129223.7,-370.4,3.77
1700.6,129255.54,-365.6,4.56
1701.15,129286.76,-377.1,2.65
1701.7,129322.67,-375,2.98
1702.25,129358.32,-375.6,2.88
1702.8,129393.26,-366.6,4.35
1703.35,129425.21,-372.1,3.44
1703.9,129458.6,-374.3,3.06
1704.45,129492.83,-370,3.77
1705,129525.97,-373,3.26
1705.55,129559.68,-372.6,3.32
1706.1,129593.65,-371.7,3.46
1706.65,129627.24,-372.2,3.37
1707.2,129661.29,-373.9,3.08
1707.75,129696.28,-380.8,1.93
1708.3,129734.17,-377.8,2.42
1708.85,129769.73,-370,3.7
1709.4,129804.18,-372.3,3.31
1709.95,129837.7,-374.6,2.92
1710.5,129872.62,-373.6,3.08
1711.05,129907.08,-371.9,3.35
1711.6,129941.25,-378.1,2.31
1712.15,129977.17,-375.6,2.72
1712.7,130013.2,-374.4,2.91
1713.25,130048.76,-371.4,3.39
1713.8,130083.05,-382.4,1.57
1714.35,130121.55,-379,2.12
1714.9,130158.45,-374.7,2.82
1715.45,130193.95,-378.5,2.19
1716,130231.13,-380.1,1.91
1716.55,130268.49,-375.8,2.61
1717.1,130305.08,-374.9,2.75
1717.65,130340.94,-381.4,1.67
1718.2,130380,-381.5,1.64
1718.75,130417.49,-371.7,3.25
1719.3,130455.67,-386.7,0.77
1719.85,130495.66,-384.4,1.14
1720.4,130536.9,-378.2,2.15
1720.95,130575.08,-381.8,1.55
1721.5,130614.38,-383,1.34
1722.05,130654.97,-385.7,0.89
1722.6,130696.53,-384.7,1.04
1723.15,130738.14,-384.9,1
1723.7,130779.9,-386,0.81
1724.25,130822.06,-385.4,0.9
1724.8,130865.42,-391.9,-0.18
1725.35,130909.95,-388.2,0.42
1725.9,130954.36,-386.9,0.63
1726.45,130997.77,-387.9,0.46
1727,131041.42,-388.2,0.4
1727.55,131085.27,-385.9,0.77
1728.1,131128.16,-388.4,0.35
1728.65,131172.68,-392.4,-0.32
1729.2,131218.58,-388,0.4
1729.75,131263.85,-387.4,0.49
1730.3,131308.35,-389.9,0.07
1730.85,131352.51,-385.7,0.75
1731.4,131396.18,-391.6,-0.23
1731.95,131442.16,-390.9,-0.12
1732.5,131488.38,-400.2,-1.67
1733.05,131541.49,-397.1,-1.17
1733.6,131592.3,-394.2,-0.69
1734.15,131641.15,-396.8,-1.13
1734.7,131691.68,-396.5,-1.09
1735.25,131742.29,-399.5,-1.59
1735.8,131794.98,-399,-1.52
1736.35,131847.68,-400.4,-1.76
1736.9,131901.23,-400.5,-1.78
1737.45,131954.6,-398,-1.38
1738,132008.43,-406.9,-2.85
1738.55,132065.99,-405.3,-2.6
1739.1,132123.28,-398.7,-1.52
1739.65,132176.91,-399.5,-1.66
1740.2,132229.66,-397.5,-1.33
1740.75,132281.8,-402.1,-2.1
1741.3,132336.8,-403.4,-2.32
1741.85,132393.3,-403.1,-2.28
1742.4,132449.76,-408.3,-3.15
1742.95,132506.5,-402.1,-2.13
1743.5,132563.55,-408.2,-3.14
1744.05,132623.91,-408.9,-3.27
1744.6,132687.15,-405.6,-2.73
1745.15,132746.49,-410,-3.46
1745.7,132808.79,-408.8,-3.27
1746.25,132871.34,-411.6,-3.74
1746.8,132935.42,-410.4,-3.55
1747.35,132999.57,-415.2,-4.35
1747.9,133067.17,-413.8,-4.13
1748.45,133133.98,-407.1,-3.03
1749,133194.97,-408.2,-3.21
1749.55,133258.03,-417.2,-4.71
1750.1,133327.2,-417,-4.68
1750.65,133397.13,-410.2,-3.57
1751.2,133461.26,-406.7,-2.99
1751.75,133524.19,-410.9,-3.7
1752.3,133588.27,-415.6,-4.48
1752.85,133657.97,-417.5,-4.8
1753.4,133729.47,-420.6,-5.32
1753.95,133802.56,-410.5,-3.66
1754.5,133869.86,-418.7,-5.02
1755.05,133941.3,-417.6,-4.84
1755.6,134013.56,-419.6,-5.18
1756.15,134087.38,-422.7,-5.7
1756.7,134163.98,-416.3,-4.65
1757.25,134235.94,-422.1,-5.61
1757.8,134312.91,-421.3,-5.48
1758.35,134389.48,-421.2,-5.47
1758.9,134466.33,-423.7,-5.89
1759.45,134545.25,-423,-5.79
1760,134623.97,-422.8,-5.76
1760.55,134703.02,-426.1,-6.31
1761.1,134785.16,-424.6,-6.07
1761.65,134866.4,-425.9,-6.29
1762.2,134949.22,-429.4,-6.88
1762.75,135036.17,-438.2,-8.34
1763.3,135124.21,-430,-6.99
1763.85,135213.35,-434,-7.66
1764.4,135306.88,-434.6,-7.77
1764.95,135401.93,-434.3,-7.73
1765.5,135496.88,-434.7,-7.8
1766.05,135592.54,-430.7,-7.15
1766.6,135691.1,-428.7,-6.83
1767.15,135779.35,-435.8,-8.01
1767.7,135875.63,-432.5,-7.47
1768.25,135967.96,-426.8,-6.54
1768.8,136055.32,-431.9,-7.39
1769.35,136147.36,-437.9,-8.39
1769.9,136247.78,-434.8,-7.89
1770.45,136345.2,-438.3,-8.48
1771,136447.4,-439.8,-8.73
1771.55,136552.17,-440,-8.77
1772.1,136656.1,-436.9,-8.27
1772.65,136751.8,-438.3,-8.51
1773.2,136853.41,-435.9,-8.12
1773.75,136953.35,-437.9,-8.46
1774.3,137055.78,-439.2,-8.68
1774.85,137158.86,-431.6,-7.44
1775.4,137253.47,-431.7,-7.46
1775.95,137347.4,-436.6,-8.28
1776.5,137447.74,-435.5,-8.11
1777.05,137547.29,-433.4,-7.77
1777.6,137646.82,-436.9,-8.35
1778.15,137743.42,-438.3,-8.59
1778.7,137847.03,-435.8,-8.19
1779.25,137947.48,-433.2,-7.77
1779.8,138046.02,-436.6,-8.33
1780.35,138147.46,-434.9,-8.06
1780.9,138247.23,-437.5,-8.49
1781.45,138350.5,-437.7,-8.53
1782,138453.82,-434,-7.93
1782.55,138553.56,-439.6,-8.85
1783.1,138659.46,-440.5,-9.01
1783.65,138763.28,-439.1,-8.78
1784.2,138870.26,-443,-9.43
1784.75,138982.88,-440.8,-9.07
1785.3,139092.83,-440,-8.94
1785.85,139201.45,-442.3,-9.32
1786.4,139310.05,-438.9,-8.77
1786.95,139416.94,-437.5,-8.54
1787.5,139521.96,-437.6,-8.57
1788.05,139627.19,-439.3,-8.85
1788.6,139734.99,-441,-9.14
1789.15,139845.5,-437,-8.48
1789.7,139950.77,-440.9,-9.13
1790.25,140059.96,-434.1,-8.01
1790.8,140162.58,-441.2,-9.19
1791.35,140272.88,-440.7,-9.11
1791.9,140383.65,-436.8,-8.47
1792.45,140488.48,-435.3,-8.22
1793,140590.87,-440.4,-9.06
1793.55,140701.09,-438,-8.67
1794.1,140808.61,-440.1,-9.02
1794.65,140918.76,-440.8,-9.13
1795.2,141030.36,-441,-9.17
1795.75,141142.36,-438.5,-8.76
1796.3,141250.49,-439,-8.84
1796.85,141358.75,-436.2,-8.38
1797.4,141464.06,-438.8,-8.81
1797.95,141572.75,-442,-9.33
1798.5,141686.05,-433.9,-8
1799.05,141787.25,-433.6,-7.95
1799.6,141887.69,-437,-8.51
1800.15,141993.29,-432.8,-7.82
1800.7,142093.02,-436.4,-8.42
1801.25,142198.1,-438.6,-8.78
1801.8,142307.17,-441.7,-9.29
1802.35,142420.06,-437.6,-8.61
1802.9,142528.09,-438.2,-8.71
1803.45,142636.14,-434.8,-8.15
1804,142739.05,-435.5,-8.27
1804.55,142842.79,-431.8,-7.66
1805.1,142941.32,-435.3,-8.23
1805.65,143045.28,-439.4,-8.91
1806.2,143155.51,-439,-8.84
1806.75,143265.85,-440.2,-9.04
1807.3,143376.92,-434.1,-8.04
1807.85,143479.47,-430.8,-7.5
1808.4,143577.68,-437,-8.51
1808.95,143683.99,-440.6,-9.1
1809.5,143796.41,-436,-8.35
1810.05,143902.93,-440.5,-9.09
1810.6,144015.04,-439.2,-8.87
1811.15,144125.39,-434.3,-8.07
1811.7,144228.57,-431.7,-7.64
1812.25,144328.15,-435.7,-8.3
1812.8,144432.8,-436,-8.34
1813.35,144538.46,-436.8,-8.47
1813.9,144645.23,-433.5,-7.93
1814.45,144747.64,-436.8,-8.47
1815,144854.23,-435.6,-8.27
1815.55,144959.24,-433.4,-7.91
1816.1,145062.6,-439.8,-8.96
1816.65,145173,-435.3,-8.22
1817.2,145278.53,-434.6,-8.1
1817.75,145382.28,-433.5,-7.92
1818.3,145484.73,-440,-8.99
1818.85,145596.97,-436.4,-8.39
1819.4,145704.63,-438.9,-8.8
1819.95,145815.93,-441.9,-9.29
1820.5,145931.56,-439,-8.82
1821.05,146042.8,-430.3,-7.38
1821.6,146140.73,-434.6,-8.09
1822.15,146244.91,-437,-8.48
1822.7,146352.7,-436.1,-8.33
1823.25,146459.11,-433.9,-7.97
1823.8,146562.89,-435.2,-8.18
1824.35,146664.92,-426.9,-6.82
1824.9,146753.33,-436.1,-8.33
1825.45,146857.01,-432,-7.65
1826,146958.27,-433.5,-7.9
1826.55,147060.22,-431.3,-7.54
1827.1,147160.69,-435.7,-8.26
1827.65,147266.55,-437.9,-8.62
1828.2,147376.29,-438.9,-8.78
1828.75,147487.93,-439.5,-8.87
1829.3,147600.45,-437.2,-8.49
1829.85,147710.05,-439.1,-8.8
1830.4,147821.11,-434.7,-8.07
1830.95,147926.04,-430.2,-7.33
1831.5,148024.48,-430.3,-7.35
1832.05,148123.27,-435.5,-8.2
1832.6,148227.97,-432.2,-7.66
1833.15,148327.01,-429.1,-7.15
1833.7,148424.23,-433.9,-7.94
1834.25,148527.38,-435.2,-8.15
1834.8,148633.21,-436.6,-8.38
1835.35,148741.38,-436.2,-8.31
1835.9,148848.56,-432.2,-7.65
1836.45,148950.67,-435.2,-8.14
1837,149056.53,-436.2,-8.31
1837.55,149163.91,-434.9,-8.09
1838.1,149270.29,-437.3,-8.49
1838.65,149379.13,-433.5,-7.86
1839.2,149483.1,-433.5,-7.86
1839.75,149586.36,-427.7,-6.91
1840.3,149681.76,-433.4,-7.84
1840.85,149784.28,-427.8,-6.92
1841.4,149879.69,-429.1,-7.14
1841.95,149976.26,-428.3,-7
1842.5,150072.01,-428,-6.96
1843.05,150167.3,-427.8,-6.92
1843.6,150262.65,-429.3,-7.17
1844.15,150359.52,-428.5,-7.04
1844.7,150456.37,-431.6,-7.55
1845.25,150556.77,-431.6,-7.55
1845.8,150657.5,-430.2,-7.31
1846.35,150756.83,-431.5,-7.53
1846.9,150857.41,-430.9,-7.43
1847.45,150957.8,-432.3,-7.66
1848,151059.95,-433,-7.77
1848.55,151162.85,-430.9,-7.42
1849.1,151263.09,-429.3,-7.16
1849.65,151362.24,-435.1,-8.11
1850.2,151466.83,-428.4,-7.01
1850.75,151565.24,-432,-7.6
1851.3,151666.72,-432.6,-7.7
1851.85,151769.62,-432.3,-7.65
1852.4,151872.44,-433,-7.76
1852.95,151976.19,-433.3,-7.81
1853.5,152080.58,-434,-7.93
1854.05,152185.98,-432.1,-7.61
1854.6,152288.6,-431,-7.43
1855.15,152389.48,-432.4,-7.66
1855.7,152492.51,-430.8,-7.4
1856.25,152593.06,-429.4,-7.17
1856.8,152689.37,-431.1,-7.45
1857.35,152790.71,-435.3,-8.14
1857.9,152897.5,-433.4,-7.83
1858.45,152991.1,-433.7,-7.88
1859,153096.36,-433.7,-7.88
1859.55,153202.22,-434.9,-8.07
1860.1,153310.43,-438.4,-8.65
1860.65,153422.81,-433.9,-7.91
1861.2,153529.74,-433.8,-7.89
1861.75,153635.79,-432.29,-7.64
1862.3,153741.13,-434.3,-7.97
1862.85,153848.38,-436.7,-8.36
1863.4,153960.09,-441.2,-9.1
1863.95,154078.44,-440.6,-9
1864.5,154196.16,-434.7,-8.03
1865.05,154304.79,-435.7,-8.19
1865.6,154414.54,-437.2,-8.43
1866.15,154526.69,-438.4,-8.63
1866.7,154641.09,-442.4,-9.28
1867.25,154762.49,-440.9,-9.03
1867.8,154881.66,-439,-8.72
1868.35,154997.75,-441.3,-9.09
1868.9,155117.23,-440.3,-8.93
1869.45,155235.39,-437.6,-8.48
1870,155348.89,-437.9,-8.53
1870.55,155463.6,-442.3,-9.25
1871.1,155584.38,-436.9,-8.36
1871.65,155697.02,-437,-8.38
1872.2,155809.76,-438.5,-8.62
1872.75,155925,-440.7,-8.99
1873.3,156044.35,-446.4,-9.92
1873.85,156174.46,-447.1,-10.03
1874.4,156306.11,-444.34,-9.58
1874.95,156436.08,-439.5,-8.78
1875.5,156553.92,-440.6,-8.96
1876.05,156673.8,-444.6,-9.61
1876.6,156799.4,-438,-8.53
1877.15,156915.27,-440.5,-8.94
1877.7,157031.77,-439.5,-8.77
1878.25,157149.25,-438.7,-8.64
1878.8,157266.61,-444.1,-9.52
1879.35,157391.97,-441.9,-9.16
1879.9,157513.31,-436.5,-8.27
1880.45,157627.02,-437.4,-8.41
1881,157741.52,-439.85,-8.82
1881.55,157855.97,-437.8,-8.48
1882.1,157971.5,-441.2,-9.04
1882.65,158091.86,-440.7,-8.95
1883.2,158192.98,-441.1,-9.02
1883.75,158292.68,-445.4,-9.73
1884.3,158396.62,-441.4,-9.07
1884.85,158496.96,-435.6,-8.11
1885.4,158607.08,-434.4,-7.92
1885.95,158712.9,-432.3,-7.57
